src,dst,instance_limit,lambda_gbps,budget_ms,milp_full_cost,milp_full_sb,milp_fix1_cost,xron_vanilla_cost,xron_fairbatch_cost,milp_full_time,milp_fix1_time,xron_vanilla_time,xron_fairbatch_time
aws:us-east-1,azure:brazilsouth,1,10.0,200.0,,,,,,0.818095999999997,0.8140953750000008,0.0007894999999962238,0.0
aws:us-east-1,azure:brazilsouth,1,10.0,300.0,,,,,,0.7981773749999945,0.8036152090000002,0.0010024590000057287,0.0
aws:us-east-1,azure:brazilsouth,1,10.0,500.0,,,,,,0.827759333000003,0.8191237500000028,0.0013083750000006944,0.0
aws:us-east-1,azure:brazilsouth,1,10.0,1000.0,,,,,,0.8173589159999963,0.8148726669999959,0.0017314170000020113,0.0
aws:us-east-1,azure:brazilsouth,1,12.0,100.0,,,,,,0.8183971670000005,0.8027557909999956,0.0007166669999989494,0.0
aws:us-east-1,azure:brazilsouth,1,12.0,200.0,,,,,,0.8419083329999992,0.8441819170000002,0.0008196249999983252,0.0
aws:us-east-1,azure:brazilsouth,1,12.0,300.0,,,,,,0.8083941669999959,0.8018862500000097,0.0010342919999999367,0.0
aws:us-east-1,azure:brazilsouth,1,12.0,500.0,,,,,,0.7902536659999981,0.8289617079999942,0.001316667000011762,0.0
aws:us-east-1,azure:brazilsouth,1,12.0,1000.0,,,,,,0.8742056250000019,0.8107499579999882,0.001732207999992852,0.0
aws:us-east-1,azure:brazilsouth,1,15.0,100.0,,,,,,0.8150016249999936,0.8051644170000003,0.0006871669999952701,0.0
aws:us-east-1,azure:brazilsouth,1,15.0,200.0,,,,,,0.8212629590000091,0.822037666,0.0007793330000112064,0.0
aws:us-east-1,azure:brazilsouth,1,15.0,300.0,,,,,,0.8330408329999983,0.8076216660000028,0.000988957999993545,0.0
aws:us-east-1,azure:brazilsouth,1,15.0,500.0,,,,,,0.8003252910000072,0.8213713749999982,0.0013120830000019623,0.0
aws:us-east-1,azure:brazilsouth,1,15.0,1000.0,,,,,,0.823511625000009,0.8136863750000032,0.0017284580000023197,0.0
aws:us-east-1,azure:brazilsouth,2,1.0,100.0,41.58,1.9531755857293405,41.58,41.58,41.58,0.8151018329999999,0.8166309590000083,0.0006539160000045285,0.0006055420000024014
aws:us-east-1,azure:brazilsouth,2,1.0,200.0,41.58,6.539171325878435,41.58,41.58,41.58,0.8168012499999975,0.839905291000008,0.0006730839999988802,0.0006093339999893033
aws:us-east-1,azure:brazilsouth,2,1.0,300.0,41.58,11.12516706602753,41.58,41.58,41.58,0.8369707500000061,0.8154330420000093,0.0006694159999938165,0.0006046250000082409
aws:us-east-1,azure:brazilsouth,2,1.0,500.0,41.58,20.29715854632572,41.58,41.58,41.58,0.8293687079999899,0.7966902920000081,0.000715458000001945,0.0006071249999877182
aws:us-east-1,azure:brazilsouth,2,1.0,1000.0,41.58,32.0,41.58,41.58,41.58,0.8529415409999928,0.8464702090000031,0.0007445840000031012,0.0006099590000019361
aws:us-east-1,azure:brazilsouth,2,2.0,100.0,82.62,2.391955493967849,82.62,82.62,82.62,0.8389463339999992,0.8226384170000074,0.000661042000004386,0.0006119579999932512
aws:us-east-1,azure:brazilsouth,2,2.0,200.0,82.62,8.008192859471599,82.62,82.62,82.62,0.8130217920000007,0.8149210419999946,0.0006749169999977767,0.0006063750000038226
aws:us-east-1,azure:brazilsouth,2,2.0,300.0,82.62,13.624430224975349,82.62,82.62,82.62,0.8386437500000028,0.8164276660000098,0.0006830420000056847,0.0006070829999913485
aws:us-east-1,azure:brazilsouth,2,2.0,500.0,82.62,24.85690495598285,82.62,82.62,82.62,0.8218903339999883,0.8080363340000076,0.0007181669999880569,0.0006082499999990887
aws:us-east-1,azure:brazilsouth,2,2.0,1000.0,82.62,32.0,82.62,82.62,82.62,0.8091354590000037,0.8368688329999969,0.0007427500000005693,0.0006076670000112472
aws:us-east-1,azure:brazilsouth,2,3.0,100.0,132.444,1.8078216473444044,132.4439999999999,133.2126,133.2126,0.8098469579999943,0.8439084999999977,0.0006620409999982257,0.000610875000006672
aws:us-east-1,azure:brazilsouth,2,3.0,200.0,132.444,6.235501410617308,132.444,133.2126,133.2126,0.8124677910000031,0.8129481249999913,0.000682334000003948,0.0006132089999937307
aws:us-east-1,azure:brazilsouth,2,3.0,300.0,126.936,2.0093167665428764,126.936,133.2126,133.2126,0.8582662919999962,0.8098952499999967,0.0006802500000020473,0.0006220000000070058
aws:us-east-1,azure:brazilsouth,2,3.0,500.0,126.936,4.275250532026761,126.936,133.2126,133.2126,0.8421645410000025,0.8103676249999978,0.0007195839999951659,0.0006241250000016407
