drop,src,dst,instance_limit,lambda_gbps,budget_ms,feasible_nominal,feasible_dropped,cost_nominal,cost_dropped,cost_rel_change_pct
0.1,aws:us-west-2,azure:brazilsouth,2,8.0,500.0,True,True,536.1749999999998,548.0477099999999,2.2143348720100904
0.1,aws:us-west-2,azure:eastus,2,8.0,500.0,True,True,365.49,368.811,0.9086431913321757
0.1,aws:us-west-2,azure:japaneast,2,8.0,500.0,True,True,425.05199999999996,434.0268,2.1114593038028326
0.1,aws:us-west-2,azure:southeastasia,2,8.0,500.0,True,True,449.92799999999994,456.46919999999994,1.4538326132181159
0.1,aws:us-west-2,azure:westeurope,2,8.0,500.0,True,True,522.3204000000001,535.0239,2.4321278663440986
0.1,aws:us-west-2,azure:westus2,2,8.0,500.0,True,True,344.4300000000001,350.3430000000001,1.7167494120721054
0.1,aws:us-west-2,gcp:asia-northeast1,2,8.0,500.0,True,True,464.10299999999995,476.48294999999996,2.667500533286794
0.1,aws:us-west-2,gcp:asia-southeast1,2,8.0,500.0,True,True,475.713,489.93570000000005,2.9897648372022694
0.1,aws:us-west-2,gcp:europe-west1,2,8.0,500.0,True,True,447.74999999999994,464.5529999999999,3.752763819095464
0.1,aws:us-west-2,gcp:southamerica-east1,2,8.0,500.0,True,True,545.1695100000001,555.5603700000001,1.9059870020977674
0.1,aws:us-west-2,gcp:us-east1,2,8.0,500.0,True,True,352.38599999999997,357.0714,1.3296214946110279
0.1,aws:us-west-2,gcp:us-west1,2,8.0,500.0,True,True,341.9549999999999,347.6295,1.6594288722200528
0.1,azure:brazilsouth,aws:ap-northeast-1,2,8.0,500.0,True,True,911.7405000000001,930.33045,2.038951872819067
0.1,azure:brazilsouth,aws:ap-southeast-1,2,8.0,500.0,True,True,999.67014,1036.89747,3.7239613859027707
0.1,azure:brazilsouth,aws:eu-west-1,2,8.0,500.0,True,True,887.4396000000002,907.6496400000001,2.277342593231126
0.1,azure:brazilsouth,aws:sa-east-1,2,8.0,500.0,True,True,656.9099999999999,664.335,1.1302918207973975
0.1,azure:brazilsouth,aws:us-east-1,2,8.0,500.0,True,True,868.0689000000001,890.2700100000003,2.557528555625043
0.1,azure:brazilsouth,aws:us-west-2,2,8.0,500.0,True,True,877.4595,898.7755500000001,2.429291608330643
0.1,azure:brazilsouth,azure:eastus,2,8.0,500.0,True,True,767.9366999999999,800.0970300000001,4.187888142343018
0.1,azure:brazilsouth,azure:japaneast,2,8.0,500.0,True,True,959.7105,973.3954500000002,1.4259456367310959
0.1,azure:brazilsouth,azure:southeastasia,2,8.0,500.0,True,True,999.981,1015.6385700000001,1.565786749948257
0.1,azure:brazilsouth,azure:westeurope,2,8.0,500.0,True,True,930.0168,946.1851200000001,1.7384976271396502
0.1,azure:brazilsouth,azure:westus2,2,8.0,500.0,True,True,808.3646999999999,836.5902299999999,3.4916826526442892
0.1,azure:brazilsouth,gcp:asia-northeast1,2,8.0,500.0,True,True,960.9110999999998,973.53549,1.3137937526166759
0.1,azure:brazilsouth,gcp:asia-southeast1,2,8.0,500.0,True,True,1010.9177999999998,1034.84385,2.366765131645733
0.1,azure:brazilsouth,gcp:europe-west1,2,8.0,500.0,True,True,937.7117999999998,953.8805699999999,1.7242792508316642
0.1,azure:brazilsouth,gcp:southamerica-east1,2,8.0,500.0,True,True,662.6105999999999,686.02554,3.533740631375369
0.1,azure:brazilsouth,gcp:us-east1,2,8.0,500.0,True,True,808.1369999999998,825.9092999999999,2.199169200271747
0.1,azure:brazilsouth,gcp:us-west1,2,8.0,500.0,True,True,822.969,839.2581,1.979309062674288
0.1,azure:eastus,aws:ap-northeast-1,2,8.0,500.0,True,True,379.51199999999994,381.05280000000005,0.4059950673496764
0.1,azure:eastus,aws:ap-southeast-1,2,8.0,500.0,True,True,529.9551,552.05199,4.169577762342513
0.1,azure:eastus,aws:eu-west-1,2,8.0,500.0,True,True,369.35999999999996,371.32199999999995,0.5311890838206599
0.1,azure:eastus,aws:sa-east-1,2,8.0,500.0,True,True,447.291,477.83790000000005,6.829312461015323
0.1,azure:eastus,aws:us-east-1,2,8.0,500.0,True,True,317.124,324.1476,2.214780338290381
0.1,azure:eastus,aws:us-west-2,2,8.0,500.0,True,True,354.816,358.1243999999999,0.9324269480519337
0.1,azure:eastus,azure:brazilsouth,2,8.0,500.0,True,True,485.5194,515.05146,6.082570541980402
0.1,azure:eastus,azure:japaneast,2,8.0,500.0,True,True,409.176,432.95039999999995,5.810311455217305
0.1,azure:eastus,azure:southeastasia,2,8.0,500.0,True,True,465.8085,490.84514999999993,5.374880449798566
0.1,azure:eastus,azure:westeurope,2,8.0,500.0,True,True,360.639,389.24010000000004,7.930673055326803
0.1,azure:eastus,azure:westus2,2,8.0,500.0,True,True,321.71940000000006,352.56546,9.587876888990811
0.1,azure:eastus,gcp:asia-northeast1,2,8.0,500.0,True,True,509.1839999999999,519.4115999999999,2.0086255656108594
0.1,azure:eastus,gcp:asia-southeast1,2,8.0,500.0,True,True,529.05465,540.801,2.2202526714395208
0.1,azure:eastus,gcp:europe-west1,2,8.0,500.0,True,True,514.242,524.1019500000001,1.917375476915565
0.1,azure:eastus,gcp:southamerica-east1,2,8.0,500.0,True,True,525.708,537.8057999999999,2.301239471341485
0.1,azure:eastus,gcp:us-east1,2,8.0,500.0,True,True,327.1410000000001,329.5629,0.7403229799994303
0.1,azure:eastus,gcp:us-west1,2,8.0,500.0,True,True,335.871,337.47389999999996,0.47723679626998966
0.1,azure:japaneast,aws:ap-northeast-1,2,8.0,500.0,True,True,436.0319999999999,443.0448,1.6083223249669945
0.1,azure:japaneast,aws:ap-southeast-1,2,8.0,500.0,True,True,489.61799999999994,498.9743999999999,1.9109591559133758
0.1,azure:japaneast,aws:eu-west-1,2,8.0,500.0,True,True,560.4489000000001,566.1980100000001,1.025804493505112
0.1,azure:japaneast,aws:sa-east-1,2,8.0,500.0,True,True,615.5253,643.6280699999999,4.56565635888563
0.1,azure:japaneast,aws:us-east-1,2,8.0,500.0,True,True,553.0437,558.39933,0.968391828710827
0.1,azure:japaneast,aws:us-west-2,2,8.0,500.0,True,True,538.8920999999999,545.6088899999999,1.2464072121302108
0.1,azure:japaneast,azure:brazilsouth,2,8.0,500.0,True,True,700.1037,720.7658550000001,2.9512992146734973
0.1,azure:japaneast,azure:eastus,2,8.0,500.0,True,True,444.4623000000001,476.10206999999997,7.118662257743768
0.1,azure:japaneast,azure:southeastasia,2,8.0,500.0,True,True,319.92300000000006,375.64425000000006,17.417081610262468
0.1,azure:japaneast,azure:westeurope,2,8.0,500.0,True,True,592.4403,610.53687,3.0545811957761893
0.1,azure:japaneast,azure:westus2,2,8.0,500.0,True,True,433.7523,466.5170699999999,7.553797409258668
0.1,azure:japaneast,gcp:asia-northeast1,2,8.0,500.0,True,True,434.87100000000004,438.3999,0.811482025704166
0.1,azure:japaneast,gcp:asia-southeast1,2,8.0,500.0,True,True,453.717,455.41529999999995,0.37430821415110316
0.1,azure:japaneast,gcp:europe-west1,2,8.0,500.0,True,True,664.0263,674.4655799999999,1.5721184537419588
0.1,azure:japaneast,gcp:southamerica-east1,2,8.0,500.0,True,True,716.3415,728.68338,1.7229045085339967
0.1,azure:japaneast,gcp:us-east1,2,8.0,500.0,True,True,536.2128,546.2249400000001,1.8671952627762791
0.1,azure:japaneast,gcp:us-west1,2,8.0,500.0,True,True,522.3186000000002,533.1515400000001,2.074010000792599
0.1,azure:southeastasia,aws:ap-northeast-1,2,8.0,500.0,True,True,462.006,466.9614,1.0725834729419217
0.1,azure:southeastasia,aws:ap-southeast-1,2,8.0,500.0,True,True,439.02000000000004,446.27399999999994,1.65231652316521
0.1,azure:southeastasia,aws:eu-west-1,2,8.0,500.0,True,True,560.0862000000001,570.51873,1.862665068341253
0.1,azure:southeastasia,aws:sa-east-1,2,8.0,500.0,True,True,620.3799000000001,654.61671,5.518684599549385
0.1,azure:southeastasia,aws:us-east-1,2,8.0,500.0,True,True,550.0377,558.49293,1.537209176752799
