max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
2,aws:us-east-1,azure:brazilsouth,1,10.0,500.0,False,,,,0,0.8645274999999994
2,aws:us-east-1,azure:brazilsouth,1,15.0,200.0,False,,,,0,0.9002167500000002
2,aws:us-east-1,azure:brazilsouth,1,15.0,500.0,False,,,,0,0.8495646249999993
2,aws:us-east-1,azure:brazilsouth,2,5.0,200.0,True,285.4440000000001,6.544593285262746,257.0,2,1.019683666999999
2,aws:us-east-1,azure:brazilsouth,2,5.0,500.0,True,273.699,2.554920974931914,257.0,5,1.1381477500000017
2,aws:us-east-1,azure:brazilsouth,2,10.0,200.0,True,688.0292999999999,1.2786093071812275,257.0,5,1.26777375
2,aws:us-east-1,azure:brazilsouth,2,10.0,500.0,True,670.2628499999998,1.4439099155148165,257.0,8,1.7826895829999998
2,aws:us-east-1,azure:brazilsouth,2,15.0,200.0,False,,,,0,0.8721356659999984
2,aws:us-east-1,azure:brazilsouth,2,15.0,500.0,False,,,,0,0.8720380419999998
2,aws:us-east-1,azure:brazilsouth,4,5.0,200.0,True,205.19999999999996,9.255776115465554,257.0,1,0.9201867080000028
2,aws:us-east-1,azure:brazilsouth,4,5.0,500.0,True,205.19999999999996,28.729321487789946,257.0,1,0.8631580419999985
2,aws:us-east-1,azure:brazilsouth,4,10.0,200.0,True,570.3480000000001,6.797298263304057,257.0,2,1.0076712910000012
2,aws:us-east-1,azure:brazilsouth,4,10.0,500.0,True,546.3180000000001,2.5726448641715614,257.0,5,0.8803575419999987
2,aws:us-east-1,azure:brazilsouth,4,15.0,200.0,True,967.5215999999998,6.885926531818761,257.0,3,0.887029541999997
2,aws:us-east-1,azure:brazilsouth,4,15.0,500.0,True,939.4596,2.578607599867496,257.0,6,0.8664259160000007
2,aws:us-east-1,gcp:europe-west1,1,5.0,200.0,True,275.328,2.14834151483452,257.0,5,0.8749039159999974
2,aws:us-east-1,gcp:europe-west1,1,5.0,500.0,True,275.328,8.609195150745766,257.0,5,0.8769321669999997
2,aws:us-east-1,gcp:europe-west1,1,10.0,200.0,False,,,,0,0.846678083999997
2,aws:us-east-1,gcp:europe-west1,1,10.0,500.0,False,,,,0,0.8764099590000001
2,aws:us-east-1,gcp:europe-west1,1,15.0,200.0,False,,,,0,0.8682657909999989
2,aws:us-east-1,gcp:europe-west1,1,15.0,500.0,False,,,,0,0.8679489999999959
2,aws:us-east-1,gcp:europe-west1,2,5.0,200.0,True,230.958,7.747270169409312,257.0,2,0.8443645840000045
2,aws:us-east-1,gcp:europe-west1,2,5.0,500.0,True,230.958,22.78370059460623,257.0,2,0.9239440839999986
