src_region,dst_region,src_tier,dst_tier,throughput_sent
azure:brazilsouth,gcp:asia-northeast1,PREMIUM,PREMIUM,0.026
azure:brazilsouth,gcp:asia-southeast1,PREMIUM,PREMIUM,0.023
azure:brazilsouth,gcp:europe-west1,PREMIUM,PREMIUM,0.032
azure:brazilsouth,gcp:southamerica-east1,PREMIUM,PREMIUM,3.851
azure:brazilsouth,gcp:us-east1,PREMIUM,PREMIUM,1.415
azure:brazilsouth,gcp:us-west1,PREMIUM,PREMIUM,0.068
azure:eastus,aws:ap-northeast-1,PREMIUM,PREMIUM,0.556
azure:eastus,aws:ap-southeast-1,PREMIUM,PREMIUM,0.044
azure:eastus,aws:eu-west-1,PREMIUM,PREMIUM,1.090
azure:eastus,aws:sa-east-1,PREMIUM,PREMIUM,0.604
azure:eastus,aws:us-east-1,PREMIUM,PREMIUM,3.902
azure:eastus,aws:us-west-2,PREMIUM,PREMIUM,1.838
azure:eastus,azure:brazilsouth,PREMIUM,PREMIUM,1.839
azure:eastus,azure:japaneast,PREMIUM,PREMIUM,1.120
azure:eastus,azure:southeastasia,PREMIUM,PREMIUM,0.070
azure:eastus,azure:westeurope,PREMIUM,PREMIUM,2.719
azure:eastus,azure:westus2,PREMIUM,PREMIUM,2.178
azure:eastus,gcp:asia-northeast1,PREMIUM,PREMIUM,0.289
azure:eastus,gcp:asia-southeast1,PREMIUM,PREMIUM,0.027
azure:eastus,gcp:europe-west1,PREMIUM,PREMIUM,0.892
azure:eastus,gcp:southamerica-east1,PREMIUM,PREMIUM,1.080
azure:eastus,gcp:us-east1,PREMIUM,PREMIUM,2.691
azure:eastus,gcp:us-west1,PREMIUM,PREMIUM,1.781
azure:japaneast,aws:ap-northeast-1,PREMIUM,PREMIUM,3.896
azure:japaneast,aws:ap-southeast-1,PREMIUM,PREMIUM,1.009
azure:japaneast,aws:eu-west-1,PREMIUM,PREMIUM,0.041
azure:japaneast,aws:sa-east-1,PREMIUM,PREMIUM,0.038
azure:japaneast,aws:us-east-1,PREMIUM,PREMIUM,0.688
azure:japaneast,aws:us-west-2,PREMIUM,PREMIUM,0.558
azure:japaneast,azure:brazilsouth,PREMIUM,PREMIUM,0.075
azure:japaneast,azure:eastus,PREMIUM,PREMIUM,1.091
azure:japaneast,azure:southeastasia,PREMIUM,PREMIUM,2.450
azure:japaneast,azure:westeurope,PREMIUM,PREMIUM,0.081
azure:japaneast,azure:westus2,PREMIUM,PREMIUM,1.046
azure:japaneast,gcp:asia-northeast1,PREMIUM,PREMIUM,3.921
azure:japaneast,gcp:asia-southeast1,PREMIUM,PREMIUM,1.887
azure:japaneast,gcp:europe-west1,PREMIUM,PREMIUM,0.027
azure:japaneast,gcp:southamerica-east1,PREMIUM,PREMIUM,0.029
azure:japaneast,gcp:us-east1,PREMIUM,PREMIUM,0.262
azure:japaneast,gcp:us-west1,PREMIUM,PREMIUM,1.605
azure:southeastasia,aws:ap-northeast-1,PREMIUM,PREMIUM,2.453
azure:southeastasia,aws:ap-southeast-1,PREMIUM,PREMIUM,3.730
azure:southeastasia,aws:eu-west-1,PREMIUM,PREMIUM,0.483
azure:southeastasia,aws:sa-east-1,PREMIUM,PREMIUM,0.032
azure:southeastasia,aws:us-east-1,PREMIUM,PREMIUM,0.041
azure:southeastasia,aws:us-west-2,PREMIUM,PREMIUM,0.930
azure:southeastasia,azure:brazilsouth,PREMIUM,PREMIUM,0.033
azure:southeastasia,azure:eastus,PREMIUM,PREMIUM,0.067
azure:southeastasia,azure:japaneast,PREMIUM,PREMIUM,2.783
azure:southeastasia,azure:westeurope,PREMIUM,PREMIUM,0.760
azure:southeastasia,azure:westus2,PREMIUM,PREMIUM,0.737
azure:southeastasia,gcp:asia-northeast1,PREMIUM,PREMIUM,2.583
azure:southeastasia,gcp:asia-southeast1,PREMIUM,PREMIUM,3.605
azure:southeastasia,gcp:europe-west1,PREMIUM,PREMIUM,0.253
azure:southeastasia,gcp:southamerica-east1,PREMIUM,PREMIUM,0.022
azure:southeastasia,gcp:us-east1,PREMIUM,PREMIUM,0.026
azure:southeastasia,gcp:us-west1,PREMIUM,PREMIUM,0.271
azure:westeurope,aws:ap-northeast-1,PREMIUM,PREMIUM,0.040
azure:westeurope,aws:ap-southeast-1,PREMIUM,PREMIUM,0.687
azure:westeurope,aws:eu-west-1,PREMIUM,PREMIUM,3.677
azure:westeurope,aws:sa-east-1,PREMIUM,PREMIUM,0.310
azure:westeurope,aws:us-east-1,PREMIUM,PREMIUM,2.492
azure:westeurope,aws:us-west-2,PREMIUM,PREMIUM,1.251
azure:westeurope,azure:brazilsouth,PREMIUM,PREMIUM,0.208
azure:westeurope,azure:eastus,PREMIUM,PREMIUM,2.723
azure:westeurope,azure:japaneast,PREMIUM,PREMIUM,0.068
azure:westeurope,azure:southeastasia,PREMIUM,PREMIUM,0.485
azure:westeurope,azure:westus2,PREMIUM,PREMIUM,1.313
azure:westeurope,gcp:asia-northeast1,PREMIUM,PREMIUM,0.024
azure:westeurope,gcp:asia-southeast1,PREMIUM,PREMIUM,0.206
azure:westeurope,gcp:europe-west1,PREMIUM,PREMIUM,3.558
azure:westeurope,gcp:southamerica-east1,PREMIUM,PREMIUM,0.036
azure:westeurope,gcp:us-east1,PREMIUM,PREMIUM,2.082
azure:westeurope,gcp:us-west1,PREMIUM,PREMIUM,0.870
azure:westus2,aws:ap-northeast-1,PREMIUM,PREMIUM,2.356
azure:westus2,aws:ap-southeast-1,PREMIUM,PREMIUM,0.786
azure:westus2,aws:eu-west-1,PREMIUM,PREMIUM,1.640
azure:westus2,aws:sa-east-1,PREMIUM,PREMIUM,0.189
azure:westus2,aws:us-east-1,PREMIUM,PREMIUM,2.905
azure:westus2,aws:us-west-2,PREMIUM,PREMIUM,3.680
azure:westus2,azure:brazilsouth,PREMIUM,PREMIUM,0.192
azure:westus2,azure:eastus,PREMIUM,PREMIUM,2.985
azure:westus2,azure:japaneast,PREMIUM,PREMIUM,2.314
azure:westus2,azure:southeastasia,PREMIUM,PREMIUM,0.634
azure:westus2,azure:westeurope,PREMIUM,PREMIUM,0.944
azure:westus2,gcp:asia-northeast1,PREMIUM,PREMIUM,1.098
azure:westus2,gcp:asia-southeast1,PREMIUM,PREMIUM,0.335
azure:westus2,gcp:europe-west1,PREMIUM,PREMIUM,0.491
azure:westus2,gcp:southamerica-east1,PREMIUM,PREMIUM,0.048
azure:westus2,gcp:us-east1,PREMIUM,PREMIUM,1.491
azure:westus2,gcp:us-west1,PREMIUM,PREMIUM,2.707
gcp:asia-northeast1,aws:ap-northeast-1,PREMIUM,PREMIUM,6.084
gcp:asia-northeast1,aws:ap-southeast-1,PREMIUM,PREMIUM,4.055
gcp:asia-northeast1,aws:eu-west-1,PREMIUM,PREMIUM,0.037
gcp:asia-northeast1,aws:sa-east-1,PREMIUM,PREMIUM,0.034
gcp:asia-northeast1,aws:us-east-1,PREMIUM,PREMIUM,0.885
gcp:asia-northeast1,aws:us-west-2,PREMIUM,PREMIUM,1.712
gcp:asia-northeast1,azure:brazilsouth,PREMIUM,PREMIUM,0.077
gcp:asia-northeast1,azure:eastus,PREMIUM,PREMIUM,1.313
gcp:asia-northeast1,azure:japaneast,PREMIUM,PREMIUM,6.907
gcp:asia-northeast1,azure:southeastasia,PREMIUM,PREMIUM,3.750
gcp:asia-northeast1,azure:westeurope,PREMIUM,PREMIUM,0.0899
gcp:asia-northeast1,azure:westus2,PREMIUM,PREMIUM,3.4218
gcp:asia-northeast1,gcp:asia-southeast1,PREMIUM,PREMIUM,3.8153
gcp:asia-northeast1,gcp:europe-west1,PREMIUM,PREMIUM,0.0329
gcp:asia-northeast1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.0359
gcp:asia-northeast1,gcp:us-east1,PREMIUM,PREMIUM,0.6089
gcp:asia-northeast1,gcp:us-west1,PREMIUM,PREMIUM,3.3017
gcp:asia-southeast1,aws:ap-northeast-1,PREMIUM,PREMIUM,2.2701
gcp:asia-southeast1,aws:ap-southeast-1,PREMIUM,PREMIUM,6.9408
gcp:asia-southeast1,aws:eu-west-1,PREMIUM,PREMIUM,0.0377
gcp:asia-southeast1,aws:sa-east-1,PREMIUM,PREMIUM,0.0303
gcp:asia-southeast1,aws:us-east-1,PREMIUM,PREMIUM,0.0364
gcp:asia-southeast1,aws:us-west-2,PREMIUM,PREMIUM,0.4291
gcp:asia-southeast1,azure:brazilsouth,PREMIUM,PREMIUM,0.0434
gcp:asia-southeast1,azure:eastus,PREMIUM,PREMIUM,0.0887
gcp:asia-southeast1,azure:japaneast,PREMIUM,PREMIUM,2.5011
gcp:asia-southeast1,azure:southeastasia,PREMIUM,PREMIUM,6.9274
gcp:asia-southeast1,azure:westeurope,PREMIUM,PREMIUM,0.7932
gcp:asia-southeast1,azure:westus2,PREMIUM,PREMIUM,0.7707
gcp:asia-southeast1,gcp:asia-northeast1,PREMIUM,PREMIUM,3.9199
gcp:asia-southeast1,gcp:europe-west1,PREMIUM,PREMIUM,0.0245
gcp:asia-southeast1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.0248
gcp:asia-southeast1,gcp:us-east1,PREMIUM,PREMIUM,0.0286
gcp:asia-southeast1,gcp:us-west1,PREMIUM,PREMIUM,0.4157
gcp:europe-west1,aws:ap-northeast-1,PREMIUM,PREMIUM,0.0368
gcp:europe-west1,aws:ap-southeast-1,PREMIUM,PREMIUM,0.0322
gcp:europe-west1,aws:eu-west-1,PREMIUM,PREMIUM,6.2515
gcp:europe-west1,aws:sa-east-1,PREMIUM,PREMIUM,0.0591
gcp:europe-west1,aws:us-east-1,PREMIUM,PREMIUM,4.1708
gcp:europe-west1,aws:us-west-2,PREMIUM,PREMIUM,1.5324
gcp:europe-west1,azure:brazilsouth,PREMIUM,PREMIUM,0.0897
gcp:europe-west1,azure:eastus,PREMIUM,PREMIUM,3.7263
gcp:europe-west1,azure:japaneast,PREMIUM,PREMIUM,0.0561
gcp:europe-west1,azure:southeastasia,PREMIUM,PREMIUM,0.6471
gcp:europe-west1,azure:westeurope,PREMIUM,PREMIUM,6.1900
gcp:europe-west1,azure:westus2,PREMIUM,PREMIUM,1.3619
gcp:europe-west1,gcp:asia-northeast1,PREMIUM,PREMIUM,0.0273
gcp:europe-west1,gcp:asia-southeast1,PREMIUM,PREMIUM,0.0295
gcp:europe-west1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.0431
gcp:europe-west1,gcp:us-east1,PREMIUM,PREMIUM,3.5344
gcp:europe-west1,gcp:us-west1,PREMIUM,PREMIUM,1.0699
gcp:southamerica-east1,aws:ap-northeast-1,PREMIUM,PREMIUM,0.0338
gcp:southamerica-east1,aws:ap-southeast-1,PREMIUM,PREMIUM,0.0290
gcp:southamerica-east1,aws:eu-west-1,PREMIUM,PREMIUM,0.0393
gcp:southamerica-east1,aws:sa-east-1,PREMIUM,PREMIUM,5.8407
gcp:southamerica-east1,aws:us-east-1,PREMIUM,PREMIUM,2.2777
gcp:southamerica-east1,aws:us-west-2,PREMIUM,PREMIUM,0.4671
gcp:southamerica-east1,azure:brazilsouth,PREMIUM,PREMIUM,6.3030
gcp:southamerica-east1,azure:eastus,PREMIUM,PREMIUM,2.9764
gcp:southamerica-east1,azure:japaneast,PREMIUM,PREMIUM,0.0499
gcp:southamerica-east1,azure:southeastasia,PREMIUM,PREMIUM,0.0415
gcp:southamerica-east1,azure:westeurope,PREMIUM,PREMIUM,0.0926
gcp:southamerica-east1,azure:westus2,PREMIUM,PREMIUM,0.2122
gcp:southamerica-east1,gcp:asia-northeast1,PREMIUM,PREMIUM,0.0276
gcp:southamerica-east1,gcp:asia-southeast1,PREMIUM,PREMIUM,0.0296
gcp:southamerica-east1,gcp:europe-west1,PREMIUM,PREMIUM,0.0500
gcp:southamerica-east1,gcp:us-east1,PREMIUM,PREMIUM,2.2293
gcp:southamerica-east1,gcp:us-west1,PREMIUM,PREMIUM,0.1060
gcp:us-east1,aws:ap-northeast-1,PREMIUM,PREMIUM,0.8200
gcp:us-east1,aws:ap-southeast-1,PREMIUM,PREMIUM,0.0431
gcp:us-east1,aws:eu-west-1,PREMIUM,PREMIUM,3.3919
gcp:us-east1,aws:sa-east-1,PREMIUM,PREMIUM,2.1940
gcp:us-east1,aws:us-east-1,PREMIUM,PREMIUM,6.1825
gcp:us-east1,aws:us-west-2,PREMIUM,PREMIUM,3.9908
gcp:us-east1,azure:brazilsouth,PREMIUM,PREMIUM,0.1444
gcp:us-east1,azure:eastus,PREMIUM,PREMIUM,4.5509
gcp:us-east1,azure:japaneast,PREMIUM,PREMIUM,0.9486
gcp:us-east1,azure:southeastasia,PREMIUM,PREMIUM,0.0794
gcp:us-east1,azure:westeurope,PREMIUM,PREMIUM,2.4696
gcp:us-east1,azure:westus2,PREMIUM,PREMIUM,4.5840
gcp:us-east1,gcp:asia-northeast1,PREMIUM,PREMIUM,1.0573
gcp:us-east1,gcp:asia-southeast1,PREMIUM,PREMIUM,0.0367
gcp:us-east1,gcp:europe-west1,PREMIUM,PREMIUM,3.4430
gcp:us-east1,gcp:southamerica-east1,PREMIUM,PREMIUM,2.5844
gcp:us-east1,gcp:us-west1,PREMIUM,PREMIUM,3.7518
gcp:us-west1,aws:ap-northeast-1,PREMIUM,PREMIUM,1.6955
gcp:us-west1,aws:ap-southeast-1,PREMIUM,PREMIUM,0.3568
gcp:us-west1,aws:eu-west-1,PREMIUM,PREMIUM,1.6239
gcp:us-west1,aws:sa-east-1,PREMIUM,PREMIUM,0.4082
gcp:us-west1,aws:us-east-1,PREMIUM,PREMIUM,4.7617
gcp:us-west1,aws:us-west-2,PREMIUM,PREMIUM,5.7382
gcp:us-west1,azure:brazilsouth,PREMIUM,PREMIUM,0.3206
gcp:us-west1,azure:eastus,PREMIUM,PREMIUM,4.0959
gcp:us-west1,azure:japaneast,PREMIUM,PREMIUM,3.7165
gcp:us-west1,azure:southeastasia,PREMIUM,PREMIUM,0.7420
gcp:us-west1,azure:westeurope,PREMIUM,PREMIUM,0.9571
gcp:us-west1,azure:westus2,PREMIUM,PREMIUM,5.7083
gcp:us-west1,gcp:asia-northeast1,PREMIUM,PREMIUM,3.1318
gcp:us-west1,gcp:asia-southeast1,PREMIUM,PREMIUM,1.1098
gcp:us-west1,gcp:europe-west1,PREMIUM,PREMIUM,0.6801
gcp:us-west1,gcp:southamerica-east1,PREMIUM,PREMIUM,0.2971
gcp:us-west1,gcp:us-east1,PREMIUM,PREMIUM,4.5032
