src_region,dst_region,latency_rtt_ms
gcp:us-west1,aws:ap-northeast-1,92.34
gcp:us-west1,aws:ap-southeast-1,168.78
gcp:us-west1,aws:eu-west-1,144.35
gcp:us-west1,aws:sa-east-1,174.61
gcp:us-west1,aws:us-east-1,64.28
gcp:us-west1,aws:us-west-2,14.15
gcp:us-west1,azure:brazilsouth,179.22
gcp:us-west1,azure:eastus,67.98
gcp:us-west1,azure:japaneast,95.89
gcp:us-west1,azure:southeastasia,161.89
gcp:us-west1,azure:westeurope,141.75
gcp:us-west1,azure:westus2,11.23
gcp:us-west1,gcp:asia-northeast1,90.51
gcp:us-west1,gcp:asia-southeast1,160.64
gcp:us-west1,gcp:europe-west1,141.65
gcp:us-west1,gcp:southamerica-east1,170.64
gcp:us-west1,gcp:us-east1,64.72
